,momentum_top5,momentum_top10,lowvol,ew_liquid
1995-01-31,1.0,1.0,1.0,1.0
1995-02-28,1.0253148485579586,1.0254905124499312,1.007422990515397,1.0081879400945641
1995-03-31,0.9801086576717262,0.9683766148378554,0.9790318541631315,0.9750381375688499
1995-04-30,1.0219579894203434,0.9998417705621891,1.0015321435687459,0.9977089271335
1995-05-31,1.047220887597671,1.071398186838212,1.1417300430341861,1.1075690237607303
1995-06-30,1.1995307130365487,1.158395119711474,1.140332921171474,1.1292805746344632
1995-07-31,1.3406125263506716,1.2560336914089216,1.1985766022775595,1.156490706835644
1995-08-31,1.396228239115116,1.2498980542898201,1.1668555281314168,1.116694674061753
1995-09-30,1.430092127154546,1.2535251830678928,1.121788587116131,1.0645479156256972
1995-10-31,1.3614530160459788,1.18979004722353,1.0592596111453159,1.0071014704670973
1995-11-30,1.2540910097760756,1.1267310000929158,1.0245148597165843,0.9754623767412898
1995-12-31,1.373026489721567,1.2040371566674695,1.0731164797705692,1.0231812858247618
1996-01-31,1.4940682441915027,1.2897117128568731,1.1645372820735067,1.1028338662166173
1996-02-29,1.5179641641727253,1.3126519932756209,1.1592114095999406,1.0634700413292806
1996-03-31,1.5157676031878016,1.3501430017242058,1.1637881352529815,1.0417679330569716
1996-04-30,1.6134419280377021,1.4074823562004068,1.212841965008855,1.0895489012448845
1996-05-31,1.7911091100678505,1.6092150206843436,1.3409084694368154,1.1813039152124036
1996-06-30,1.8055453279013056,1.6182357388442867,1.327196954207086,1.208745584127574
1996-07-31,1.7228124382631584,1.5340080177855235,1.2210265400076172,1.0679457060820212
1996-08-31,1.740397673288694,1.665010367997507,1.3001024744972325,1.1286777085127957
1996-09-30,1.7134359127473542,1.6993860944114598,1.2656090980200336,1.0913796540808274
1996-10-31,1.5725392497443962,1.6051173807263233,1.2373492248734177,1.064657527784705
1996-11-30,1.544991030648186,1.6754839854330918,1.262995309293407,1.1310968873926333
1996-12-31,1.463885270319946,1.6502035674640545,1.2999601269973837,1.1315824461308284
1997-01-31,1.603223293250435,1.8028130360553074,1.3714731578688761,1.2390540037604567
1997-02-28,1.5916120247443326,2.0137517087956485,1.419812086510657,1.323663854859648
1997-03-31,1.5089125450152336,1.975074187210426,1.3670148024942024,1.2859261796442105
1997-04-30,1.124370862567975,1.5175196017057806,1.0973919940153445,1.0517717358508905
1997-05-31,1.1427919293655233,1.5181882987978863,1.0491437273804816,1.0843046994633345
1997-06-30,1.1847060045828395,1.530148717202848,1.0351476553241552,1.0588315971352003
1997-07-31,1.0557979450045003,1.4007182275548773,0.9630035585260399,0.9915161234567765
1997-08-31,0.8039057833102269,1.083073731385434,0.767585693212624,0.7758234019653346
